src_ip,dst_ip,src_port,dst_port,protocol,pkt_count,byte_count,start_time,last_time,duration,label
35.192.226.100,41.163.228.84,11092,30025,HTTPS,3,3865,1733554469,1708623353,5.75,0
175.205.130.0,72.54.136.46,55484,49631,HTTP,13,921,1715378456,1748289292,7.631,1
5.217.246.254,143.175.237.103,36254,30735,UDP,3,2023,1728783001,1720360866,1.584,0
142.102.26.136,210.41.59.211,47442,516,HTTPS,26,4697,1746440908,1728964394,5.761,1
207.14.89.41,198.11.129.6,27230,45247,HTTP,24,1860,1725787355,1749668993,2.611,0
124.204.178.62,80.130.108.2,63668,1192,UDP,6,4468,1756583584,1735917751,2.358,1
96.230.240.51,27.113.106.39,1311,32265,HTTP,43,2691,1750985316,1735372654,0.214,1
253.95.131.221,230.160.219.128,23361,43629,HTTP,49,2278,1720181374,1722187903,1.39,0
229.150.230.236,247.7.100.159,21690,46217,HTTPS,42,3441,1752987688,1741753855,3.162,1
143.170.28.35,124.175.106.100,52083,6298,UDP,12,4228,1717480861,1717340722,1.257,0
13.159.70.186,4.221.197.109,2185,58756,HTTPS,49,2400,1755243320,1730289845,9.86,1
243.85.27.65,246.18.31.136,50305,27857,TCP,36,4407,1758547632,1741389199,3.155,0
170.44.61.184,12.138.45.118,56513,49424,TCP,2,4929,1724908847,1708904337,1.39,0
245.133.27.27,16.128.62.108,36155,8335,UDP,11,2789,1709694535,1739027078,2.071,0
108.43.83.29,119.244.20.157,25559,24163,HTTP,39,2780,1752953520,1728077868,5.918,1
190.74.127.249,13.161.3.155,33552,6009,HTTPS,34,1368,1746923182,1758582691,0.734,0
247.91.216.230,102.249.222.58,39775,7988,HTTPS,26,1585,1734148407,1738599848,8.638,0
190.224.128.120,247.127.26.68,17551,62533,UDP,18,4834,1755384331,1727249629,9.619,0
27.189.120.115,25.130.96.195,41999,30967,UDP,21,2493,1715562820,1722051113,2.543,1
205.232.2.102,25.147.161.153,24877,3333,TCP,36,1822,1737537495,1745056232,4.556,0
198.199.154.136,126.253.132.226,15782,788,DNS,40,3259,1702282373,1700354182,0.319,1
62.164.224.50,189.219.220.8,1268,38991,UDP,46,4984,1753171800,1738697230,6.443,1
234.171.151.206,116.229.177.133,51102,9874,DNS,44,927,1707527872,1736195387,4.198,1
59.117.159.95,211.59.171.120,4202,17007,UDP,22,2920,1736104984,1752829650,2.774,0
216.232.179.112,139.193.174.107,32855,20226,HTTP,30,3250,1709240832,1748442602,2.148,0
62.240.185.51,108.200.212.215,3200,36445,HTTP,43,4194,1719169951,1743985572,6.575,1
12.253.38.129,226.213.130.75,38794,35341,TCP,30,3797,1741058793,1736471017,4.221,0
131.112.100.112,220.29.217.239,34678,39684,TCP,8,2886,1740868585,1718351471,1.879,0
184.80.186.112,21.155.247.217,58708,5034,DNS,34,342,1722195842,1707012022,6.922,1
2.129.219.53,190.160.212.162,27651,7789,UDP,47,1701,1709750576,1754111052,5.694,1
87.228.223.224,180.33.40.50,53574,15690,HTTPS,9,4681,1753954194,1722324455,8.601,0
129.146.125.129,175.81.57.74,47513,44221,TCP,20,4456,1713283643,1748838504,1.263,1
53.171.217.159,185.22.175.127,45934,21599,HTTPS,40,586,1722773738,1729649386,7.878,0
198.159.246.67,150.16.68.107,25905,37481,HTTPS,25,2736,1720384156,1739464554,6.768,1
183.202.183.122,139.93.14.90,59275,29704,UDP,19,283,1756267185,1713482486,1.239,0
145.254.37.23,163.32.211.124,36446,67,DNS,5,2702,1720377416,1736324217,6.979,0
69.115.97.197,16.161.65.226,13008,48624,UDP,11,2424,1717336247,1737068510,4.471,1
214.138.254.239,168.247.155.46,24800,45247,TCP,15,2322,1723268496,1745658703,9.455,0
144.96.200.123,167.197.200.147,62410,7534,HTTPS,8,1016,1736255675,1739517564,1.502,0
187.69.207.92,124.0.199.246,18779,15104,UDP,19,939,1750144621,1752995767,6.464,1
3.147.251.186,87.127.190.66,8159,4617,UDP,23,3913,1738998435,1709699755,3.882,0
164.146.89.194,4.185.152.46,1344,46046,UDP,27,3450,1754767376,1750035384,9.572,0
147.147.95.198,38.142.190.20,38446,50293,TCP,40,84,1758926640,1716644741,3.367,0
52.232.160.167,227.56.116.180,29659,59659,DNS,32,4592,1740096587,1718875167,9.626,1
128.38.81.103,46.243.141.227,22708,38499,UDP,26,3573,1740719803,1747503723,9.025,1
129.10.219.184,204.144.38.136,56937,43493,TCP,27,1813,1732115603,1726702025,2.777,1
217.177.150.158,99.251.76.206,24262,11773,HTTPS,19,3341,1728692913,1735134321,8.055,1
222.41.98.6,210.114.224.133,22913,23850,HTTP,42,2538,1720912770,1708927377,9.956,1
252.143.89.111,251.218.150.186,31337,49037,TCP,29,2750,1746282282,1700287555,2.601,0
249.243.59.112,91.97.119.45,33559,58532,HTTP,39,1608,1702988088,1703775944,4.424,0
2.128.47.253,38.141.99.244,49923,53624,UDP,41,4740,1748397873,1736298886,5.25,0
140.196.36.159,72.189.34.146,59499,12941,UDP,33,2326,1734534339,1725574001,3.02,1
251.246.8.232,30.254.77.250,11794,52492,TCP,19,4056,1750545616,1747600903,0.251,0
99.146.47.207,84.112.24.167,40345,16933,HTTP,37,4489,1746525732,1746651455,2.279,1
131.147.151.53,88.13.153.101,21450,29770,UDP,19,1153,1759015213,1703197418,2.891,0
120.160.151.115,215.149.175.248,45351,56828,HTTPS,33,1469,1718678953,1711509800,4.492,1
75.112.199.163,83.109.178.130,42801,61432,DNS,47,1528,1747115534,1702788647,1.794,0
166.103.83.253,170.18.200.27,47274,24649,DNS,16,3964,1721762464,1706224898,8.745,0
227.111.253.216,212.172.70.205,8522,47412,UDP,23,3792,1727513679,1706378384,7.079,1
99.152.92.145,63.72.250.123,40428,32967,HTTP,7,3006,1713779190,1718347713,0.943,0
128.109.81.193,119.120.251.18,41154,27778,UDP,26,1432,1723186579,1751065806,6.536,0
54.162.207.188,175.243.141.119,17419,59126,HTTP,32,2624,1716773349,1753023853,6.571,1
169.227.160.67,166.180.60.163,50370,32568,HTTPS,12,3434,1752634391,1756491377,9.567,0
33.141.20.47,168.208.29.8,3561,49724,HTTP,8,1619,1721365372,1759525487,0.13,0
148.247.127.135,64.160.119.51,20250,17175,UDP,5,1944,1716649919,1751754419,2.555,1
135.194.144.127,89.141.202.52,16240,42599,HTTPS,42,2293,1734539893,1723722901,9.285,1
33.175.203.186,227.232.186.77,19637,59176,TCP,28,1916,1756163407,1728335107,9.328,1
115.213.118.21,222.40.195.250,4033,59200,DNS,5,78,1745298401,1758550264,7.234,1
238.157.37.229,68.219.7.1,25392,13799,UDP,49,755,1722488128,1758061043,7.681,1
109.50.181.7,105.124.109.85,30351,65365,UDP,26,1070,1735360855,1741831301,1.006,0
27.26.225.20,169.119.126.254,15233,17559,UDP,5,2113,1749032279,1730806181,5.187,1
30.96.27.110,183.15.220.61,49467,61085,HTTPS,22,1496,1735504840,1752810777,2.393,1
192.224.196.251,113.175.157.11,16053,44238,TCP,15,3714,1749927893,1717632650,1.894,0
61.47.146.3,35.10.63.237,3101,65498,HTTP,13,3037,1759348171,1700308697,8.122,0
35.191.48.16,50.212.254.148,14931,179,TCP,28,3652,1703594128,1711799568,1.437,0
172.219.157.220,69.47.19.100,58021,51397,HTTPS,33,3735,1759897213,1754047447,4.74,0
46.116.5.98,195.171.160.244,37659,20471,UDP,43,3418,1758438232,1755051355,9.392,0
124.232.36.23,253.200.188.136,49944,17119,DNS,23,3631,1751738075,1707279074,1.94,1
93.240.45.180,68.34.208.225,63583,22617,UDP,33,2812,1720266766,1746860830,9.782,0
95.98.187.224,216.223.64.7,5897,799,HTTP,43,4087,1723666269,1742015948,9.943,1
116.190.252.212,45.86.174.167,9659,7602,DNS,18,622,1703895090,1743585013,5.601,0
160.214.160.66,76.181.75.173,34089,25364,UDP,30,4138,1727011610,1756363938,1.784,1
128.17.24.233,47.14.104.146,46887,2796,DNS,26,664,1736319445,1729731215,3.229,0
223.53.57.66,26.51.92.149,56032,31927,TCP,16,4100,1749133641,1737758158,4.302,1
104.173.23.113,232.20.50.37,42828,45265,HTTPS,13,375,1722939708,1714854762,3.162,1
32.174.85.150,20.248.156.178,34807,37357,UDP,39,3790,1716216761,1732070801,2.878,1
194.126.154.233,132.54.198.91,35176,7298,HTTP,33,408,1708424990,1717619822,9.725,1
130.217.16.103,28.3.149.75,59765,64153,TCP,26,3827,1707038170,1756064100,1.618,1
161.136.42.245,173.66.85.235,42537,3085,UDP,48,2421,1717639435,1740932207,7.36,1
176.38.220.169,194.215.161.90,52526,30330,TCP,1,1771,1747209261,1737425981,0.104,1
247.25.98.49,183.104.0.71,30116,11111,HTTP,49,1399,1758666398,1742393455,6.002,1
153.151.12.59,87.165.5.213,18677,732,UDP,38,3746,1752049951,1755966960,9.168,1
250.134.56.35,153.209.144.60,33487,1130,HTTP,2,3946,1729217951,1715333352,2.951,1
173.19.64.7,12.5.217.26,35052,28023,DNS,49,4310,1709663464,1741279386,1.937,0
238.143.141.203,136.210.123.105,41493,1606,HTTP,6,1646,1703801082,1720476662,6.552,1
115.214.142.91,193.184.92.108,58552,11971,DNS,46,1677,1720123884,1754554786,7.155,1
98.65.31.214,241.98.167.141,21971,43706,UDP,38,2552,1740251106,1717325939,6.912,0
191.85.50.152,35.175.236.83,57073,44131,DNS,42,3858,1712317876,1720010156,3.261,1
186.62.189.124,56.176.140.188,60778,29266,UDP,24,242,1711095868,1726794485,2.597,1
150.57.57.85,230.48.45.112,31002,32331,UDP,18,2724,1736760109,1721550363,9.564,0
49.179.169.69,190.135.42.147,23080,2934,HTTPS,27,3895,1736060500,1725251174,9.241,0
15.53.234.187,124.96.89.38,30031,15188,UDP,41,2627,1710024015,1712597628,4.627,1
101.224.7.52,85.244.176.191,44193,25792,DNS,8,141,1712481158,1759829093,8.477,0
60.235.107.4,62.105.106.53,49311,24901,HTTPS,28,4284,1700483075,1726110856,4.578,1
103.195.5.108,126.232.8.87,55769,5075,HTTPS,10,530,1712348378,1736440011,4.301,1
224.115.93.46,37.48.40.16,45656,46806,UDP,17,2966,1732447283,1733052558,1.652,1
99.54.167.51,88.20.50.58,49473,26427,HTTP,29,4485,1758457846,1739466516,4.321,0
144.12.113.123,167.182.40.38,56331,39868,HTTP,6,1125,1731969752,1742635059,5.42,1
106.157.146.144,141.191.10.237,6567,50643,HTTPS,14,2563,1710165918,1707355554,0.323,1
120.62.18.91,147.138.76.126,57416,894,UDP,22,848,1708715978,1751772000,4.497,0
58.182.89.228,46.44.0.167,22091,34159,HTTP,6,4620,1728094575,1710297650,7.835,1
218.116.61.22,108.18.75.71,52057,19774,UDP,26,3999,1739006163,1701877330,6.832,1
127.136.139.244,200.188.244.108,46280,4240,UDP,39,654,1724276259,1715009846,6.388,1
129.57.121.0,12.188.239.160,26121,20864,HTTPS,12,3029,1706746037,1738636502,9.105,1
239.33.95.125,45.89.102.219,43871,51416,HTTPS,35,4966,1727330357,1726878284,0.279,1
118.47.88.231,250.196.7.152,44536,3433,TCP,14,647,1725998966,1742498174,5.615,1
237.116.128.15,91.173.86.157,4833,35140,HTTP,22,1582,1721250430,1755386027,7.895,0
189.230.191.190,237.174.214.176,23215,60431,HTTP,23,563,1712685328,1757600704,5.459,1
69.21.92.246,175.83.81.145,22291,53465,HTTP,48,1927,1754014444,1733145074,3.307,1
195.75.153.143,194.67.221.160,8230,1516,DNS,7,4022,1713679946,1754478684,1.449,0
179.228.85.184,127.163.81.228,54331,31671,UDP,40,3893,1709231261,1722985303,8.887,1
29.205.219.68,147.238.155.167,22081,48675,HTTPS,25,1749,1758183394,1747472463,4.761,1
47.240.93.237,84.112.224.75,30016,39095,HTTP,13,1079,1707841640,1717825494,8.793,0
190.243.196.203,122.242.142.40,47538,14606,TCP,21,4645,1743779557,1740589915,5.9,0
144.217.217.175,167.1.190.28,17019,56241,HTTP,41,766,1708740245,1733677614,6.775,0
85.38.99.32,105.201.193.50,49827,5587,UDP,10,4136,1715708276,1737797327,8.062,0
254.221.100.22,75.204.9.141,45463,35686,UDP,9,715,1715107626,1724269034,6.626,0
250.9.245.68,210.50.117.200,64501,54884,HTTPS,15,2258,1750283375,1755549623,4.041,0
100.33.179.222,121.38.27.2,14234,56839,DNS,2,1129,1713486194,1728609573,5.185,0
138.249.146.185,84.197.154.116,18817,48670,HTTPS,25,277,1742120986,1758804362,8.05,1
96.0.247.68,2.92.165.130,27294,31187,HTTP,13,198,1705137956,1726816706,3.799,1
237.3.15.23,144.93.39.1,63032,26929,TCP,34,1119,1722051629,1744402190,3.942,1
80.246.1.240,81.168.253.11,6221,32729,HTTPS,34,4777,1747031920,1710413824,1.047,0
220.127.159.218,163.234.64.54,49345,17552,DNS,35,1413,1758056226,1733718918,9.154,1
84.151.139.177,45.206.217.100,8476,57455,HTTPS,38,4558,1751196547,1710082304,1.001,0
163.123.32.160,213.61.48.126,42510,21494,UDP,3,1805,1725429327,1744774495,6.517,1
189.178.170.100,223.152.22.151,15883,20712,HTTP,42,569,1756742223,1714410440,4.191,1
12.66.64.160,249.37.27.20,28260,54963,HTTP,6,3594,1702318292,1737400988,4.116,1
168.73.42.43,182.106.145.163,32923,20040,HTTP,48,2372,1752358041,1739813657,6.828,1
29.140.11.94,99.172.118.72,33107,36562,HTTP,49,1152,1757954168,1751066710,0.764,0
46.129.252.242,181.229.121.29,3196,9948,HTTP,19,647,1744945123,1717504684,5.978,0
242.34.214.80,188.107.97.31,46950,32336,HTTP,3,3323,1729692050,1718841834,7.743,1
90.7.92.153,195.194.155.171,17687,15860,TCP,18,4099,1702379897,1712675420,8.299,0
202.89.253.161,79.40.62.22,28564,23123,DNS,39,2655,1718071632,1720231923,1.788,0
115.104.134.195,104.74.47.159,54153,1578,HTTP,9,2238,1735539628,1730975456,8.984,1
58.244.113.236,250.250.56.117,20077,42257,DNS,12,4875,1758384025,1738427019,6.596,0
75.156.119.163,100.123.160.151,12109,28351,HTTP,5,638,1741257621,1713747550,8.83,0
217.20.252.248,167.33.183.155,31588,51373,HTTPS,3,4522,1712306806,1728242335,4.904,0
164.137.100.200,165.6.195.164,25233,41933,HTTP,11,1457,1701560121,1727068277,5.466,0
152.191.226.176,56.64.192.46,60119,33799,UDP,30,4896,1705878263,1706284179,9.198,1
99.239.35.209,148.18.156.201,5005,31899,TCP,4,4772,1717220251,1715052662,9.009,1
241.230.95.151,188.145.219.162,22177,15882,HTTPS,5,3440,1703099072,1712442674,4.537,0
151.189.223.36,171.238.222.218,6271,10786,HTTPS,1,3490,1740205155,1706914128,2.817,1
12.112.182.12,126.138.48.112,11577,6692,UDP,27,1679,1725126308,1745811747,3.992,1
23.216.98.104,38.63.68.135,21835,53145,HTTP,28,1044,1730270785,1736353090,3.939,1
30.16.112.61,162.175.115.183,30869,61958,TCP,29,4848,1748897936,1741216640,2.94,0
84.111.216.85,204.229.64.30,7159,65432,HTTPS,18,2109,1755532199,1751755889,2.759,0
141.186.18.176,132.112.108.177,6597,17298,TCP,12,4622,1759409573,1717680026,8.625,1
100.139.188.232,69.157.119.87,54307,6359,HTTPS,13,3036,1758078804,1715221492,0.792,1
147.75.8.198,187.66.74.44,60076,51334,HTTP,41,450,1738107068,1729624942,6.808,0
28.205.222.127,4.153.154.173,14755,63773,HTTPS,2,2905,1751082888,1705541543,1.811,1
52.82.249.110,246.106.191.218,8213,19582,HTTPS,37,2274,1704315596,1754046176,3.511,0
144.116.68.98,234.50.49.5,15565,55193,DNS,45,3462,1706775996,1705169619,0.709,1
140.24.179.122,59.124.142.244,44670,1463,HTTP,16,106,1751327439,1739949453,2.773,0
213.227.52.150,30.169.228.121,12111,63313,UDP,48,1925,1744163983,1740515939,7.707,0
144.56.38.108,125.36.169.123,47459,64174,UDP,24,4593,1728227962,1715571652,8.862,0
181.41.185.166,101.34.86.133,54711,15512,HTTP,35,4348,1709929729,1749972694,2.293,0
142.222.121.132,196.17.251.200,3800,10571,UDP,22,3818,1715195753,1712768876,4.689,1
163.214.220.234,113.28.76.58,43103,48666,HTTP,36,4883,1735514731,1737250043,4.756,0
75.145.238.75,175.125.243.144,28588,44415,UDP,11,4347,1705079111,1738985591,8.748,1
9.73.185.235,109.223.239.21,29859,15475,DNS,46,1403,1724679850,1726211918,7.652,0
145.252.229.6,68.68.164.232,62611,7038,UDP,29,2460,1702853501,1753724037,5.179,0
174.140.167.169,49.140.161.108,8721,28130,HTTPS,35,4361,1744770473,1732670368,6.74,1
137.177.26.121,86.52.122.86,15653,42268,HTTP,48,2652,1706282444,1753748150,8.489,1
194.4.28.164,179.130.41.97,9410,54147,TCP,15,2984,1749760056,1716153106,0.194,1
166.82.135.239,160.108.50.249,18070,13387,TCP,31,72,1755945552,1741906302,4.089,0
109.64.85.243,241.84.173.126,58847,58534,HTTP,42,2252,1702459622,1732766156,9.082,0
145.254.70.216,236.20.43.138,9068,54461,DNS,41,1259,1731604183,1730648348,7.429,1
45.131.35.69,103.67.242.128,54394,6222,UDP,43,2346,1750190530,1759474364,5.474,0
252.158.18.188,92.190.23.124,10639,23475,DNS,16,798,1714569117,1759453134,5.343,1
108.181.166.90,227.140.110.97,48826,40538,TCP,10,854,1752229107,1728385743,3.543,0
202.89.18.38,139.227.178.252,6084,49840,HTTP,49,183,1704240012,1706225175,5.253,0
126.194.172.140,17.98.251.81,11924,47125,HTTP,32,4466,1745892882,1717778838,6.588,0
242.219.125.57,104.213.248.151,61543,21046,DNS,2,2487,1749647622,1703246319,4.242,1
148.219.199.60,250.18.164.230,56050,25784,DNS,24,483,1747661960,1701636617,7.17,0
127.104.166.0,85.7.27.4,6605,51047,UDP,23,3721,1751547090,1730912181,8.626,1
131.204.91.189,145.100.163.117,62182,40158,HTTPS,2,3786,1739118828,1745673576,1.631,1
249.190.251.112,147.254.63.90,35806,4923,HTTPS,38,4089,1707903797,1727529128,4.57,0
153.55.160.165,117.97.10.53,21197,46408,UDP,31,2148,1712505703,1732943536,4.139,1
117.133.57.43,173.46.139.245,14021,22707,HTTPS,40,2967,1752911957,1719243920,6.906,1
173.159.172.60,149.245.138.230,44427,42772,TCP,26,302,1711704145,1727525616,2.574,0
47.148.79.117,220.4.208.183,59279,52336,HTTPS,29,4884,1756756796,1759082167,6.438,1
213.202.251.228,20.168.45.249,47440,32480,UDP,3,1179,1707049985,1701046251,8.787,1
164.226.146.19,12.69.16.114,8172,52950,HTTPS,14,3314,1741060593,1700285356,4.24,0
185.145.46.232,147.153.47.107,57942,5179,HTTP,25,351,1755483594,1732288939,9.119,0
49.13.142.158,236.51.95.69,61581,30023,DNS,48,2027,1707026206,1743467245,9.932,0
1.116.53.117,183.249.227.101,19772,15241,TCP,1,2813,1704247328,1736557769,1.15,1
3.143.214.184,75.160.189.215,15046,26221,HTTP,3,4055,1718228685,1743111734,2.407,1
203.11.73.223,151.142.154.202,21037,36737,HTTP,26,3291,1730583887,1731147410,9.509,0
16.199.101.203,192.248.242.241,39711,2717,UDP,18,3107,1736855306,1756895132,9.587,1
152.155.116.7,209.178.180.205,16910,16575,DNS,9,600,1721513632,1708505089,1.067,0
122.91.163.89,219.81.91.178,55851,46280,DNS,38,1637,1720841213,1754594211,0.248,0
136.185.59.177,175.254.238.3,61840,17720,TCP,23,1872,1708302975,1703275654,1.695,0
28.219.100.40,135.108.162.47,26280,8182,UDP,21,3267,1713101446,1703674777,9.961,1
228.191.154.245,73.71.115.172,31029,45764,TCP,1,3546,1739680895,1739787982,1.882,1
191.144.200.160,81.80.112.224,7662,44067,HTTPS,21,4459,1708437534,1724899950,5.075,0
245.211.204.219,96.71.146.62,38443,49531,HTTP,27,4329,1738965244,1744056567,8.499,0
240.156.140.45,38.66.186.68,34401,61827,TCP,42,762,1748509615,1714918181,0.302,1
35.252.133.81,13.174.237.188,41732,20214,HTTP,6,2225,1757484413,1713525634,6.084,0
115.196.46.152,31.246.207.113,44140,6381,UDP,44,4122,1747934957,1759930469,2.843,1
194.9.55.29,224.21.92.213,37658,616,HTTPS,36,3899,1722884398,1732276687,8.637,0
242.250.108.4,171.66.53.137,17779,62983,UDP,28,2483,1756344269,1756256961,2.906,0
119.247.32.117,42.63.125.20,24406,51483,HTTPS,45,3351,1754083035,1721172318,6.899,1
65.145.223.238,208.203.193.168,50791,63489,HTTPS,17,320,1719556276,1714813019,6.775,1
177.10.84.25,152.34.183.29,57087,50907,HTTP,40,1844,1700483791,1741599453,2.293,1
63.216.85.58,57.221.46.162,23418,464,UDP,3,4956,1726836754,1741613994,0.445,1
27.176.204.160,19.113.7.25,3277,31974,UDP,12,2512,1715374160,1731531769,4.152,1
98.104.98.254,113.231.70.29,38734,9159,TCP,39,4343,1718935930,1757155773,2.963,0
129.148.239.54,135.66.64.35,46122,20652,UDP,12,3444,1711836889,1716669382,8.109,0
6.219.208.196,25.36.0.142,1888,3159,TCP,2,1129,1709184874,1735796451,8.024,1
95.132.101.2,37.140.231.135,35060,20009,DNS,46,2928,1719399496,1710450652,4.625,1
181.22.228.52,133.187.127.200,41246,46203,DNS,22,4773,1713317681,1748297495,6.104,0
165.201.201.82,127.0.163.34,14690,4939,DNS,23,653,1704225872,1717089267,6.082,0
145.84.77.200,194.190.103.22,59152,38186,UDP,30,1635,1713380190,1756501670,8.289,1
110.0.50.172,9.33.173.205,21979,22389,UDP,5,3107,1742604299,1731237759,4.308,1
205.3.189.192,128.3.157.222,46162,65441,TCP,9,4035,1742553366,1719568220,2.827,0
113.231.31.33,102.74.98.71,39021,8882,HTTPS,21,4739,1701245749,1715099691,2.724,1
92.94.71.38,3.141.187.204,17333,59967,TCP,11,1445,1759676533,1745240374,5.408,0
154.249.161.181,173.223.33.44,52413,5604,DNS,5,3738,1719004157,1739817180,4.547,0
118.2.122.49,61.82.122.101,5078,34981,TCP,35,649,1718195396,1703568125,4.457,1
12.192.53.235,16.65.167.144,63263,22505,HTTPS,27,563,1729862122,1706656669,1.002,0
133.221.221.250,119.161.233.123,1959,54971,UDP,49,1116,1758794979,1744584476,7.214,0
57.144.111.254,144.101.187.65,45964,16767,TCP,2,2936,1756564794,1759874514,2.216,0
47.150.206.228,194.217.12.183,23802,51409,DNS,24,2703,1757386147,1719220121,2.05,1
85.141.65.74,111.158.251.33,58067,28387,DNS,31,4955,1748600834,1759710426,4.186,0
179.102.165.191,39.194.135.214,44322,11696,UDP,33,1138,1708237881,1726899165,2.355,1
252.225.37.49,206.119.125.54,64132,17797,TCP,39,4435,1719796183,1751743858,5.88,0
98.81.29.78,27.117.220.230,49352,42544,HTTPS,30,4914,1716493750,1739579572,3.777,0
91.178.190.225,53.38.64.144,49948,14560,UDP,46,2564,1737281336,1723139997,4.544,0
52.248.165.224,233.157.180.12,17733,38915,TCP,37,4019,1714459536,1714184706,5.418,0
216.78.251.29,21.146.52.18,10750,33140,HTTP,28,3334,1748941990,1719940473,2.115,0
247.105.50.80,57.24.213.30,61848,54959,DNS,31,4616,1709921625,1702674986,1.642,1
133.28.131.137,81.182.22.31,41566,38334,HTTPS,11,2246,1751124163,1736970246,8.816,1
184.144.73.16,190.73.9.227,21269,8803,HTTPS,23,4233,1739465270,1756368508,4.394,0
252.83.215.68,200.53.51.147,35777,8308,HTTPS,2,839,1751724844,1735504688,4.18,1
34.5.52.193,160.113.13.177,15276,40206,DNS,40,3525,1717812427,1719580744,0.453,1
205.125.234.42,156.109.243.52,22340,33215,TCP,41,3203,1702189568,1732079348,5.03,0
240.202.114.110,152.78.21.29,38395,34160,UDP,27,1714,1754266388,1711796776,5.586,1
249.150.182.79,191.3.204.58,20186,11517,TCP,35,1359,1734201554,1755642473,5.633,1
